id,storeId,medicineName,itemTypeKey,drugForm,issueUnit,purchaseUnit,conversion,hsnCode,manufacturer,potency,,
1,66682bdcd2a08931144c1cff,1-0RB NDL 4242,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
2,66682bdcd2a08931144c1cff,1 NO.RB NDL 4259,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
3,66682bdcd2a08931144c1cff,1 NO.RB NDL NW4226,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
4,66682bdcd2a08931144c1cff,2-0 RB NDL 4241,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
5,66682bdcd2a08931144c1cff,2 NO.RB NDL 4228,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
6,66682bdcd2a08931144c1cff,3-0 CUTTING NDL 4201,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
7,66682bdcd2a08931144c1cff,3-0 RB NDL 4237,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
8,66682bdcd2a08931144c1cff,4-0 CHROMIC CUT NDL NW 4287,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
9,66682bdcd2a08931144c1cff,4-0 CHROMIC R/B 5048,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
10,66682bdcd2a08931144c1cff,4-0 CUTING NDL 4280,General Items,Consumables,Nos,Nos,1,3006,Lotus,,,
11,66682bdcd2a08931144c1cff,ABDOMINAL BELT - L,General Items,Consumables,Nos,Nos,1,9018,Dyna,,,
12,66682bdcd2a08931144c1cff,ABPHYLLIN,Drug,Capsules,Nos,Strip,10,3004,Sun Pharma,,,
13,66682bdcd2a08931144c1cff,ABSOLUT CAP,Drug,Capsules,Nos,Strip,10,3004,Pharmed,,,
14,66682bdcd2a08931144c1cff,ADLIV FORTE,Drug,Capsules,Nos,Strip,10,3004,Albert David,,,
15,66682bdcd2a08931144c1cff,ALAMIN M FORTE,Drug,Capsules,Nos,Strip,10,3004,Albert David,,,
16,66682bdcd2a08931144c1cff,ANGISPAN-TR TABLET,Drug,Capsules,Nos,Strip,10,3004,USV Ltd,,,
17,66682bdcd2a08931144c1cff,ALFATAM 0.4MG,Drug,Capsules,Nos,Strip,15,3004,Zydus,,,
18,66682bdcd2a08931144c1cff,AFS-3 KIT,Drug,Tablet,Stip,Strip,1,3004,Salud Pharma,,,
19,66682bdcd2a08931144c1cff,AMPOXIN 500 MG CAP,Drug,Capsules,Nos,Strip,15,3004,Unichem,,,
20,66682bdcd2a08931144c1cff,AMPOXIN-KID,Drug,Tablet,Nos,Strip,10,3004,Unichem,,,
21,66682bdcd2a08931144c1cff,AQUASOL A,Drug,Capsules,Bott,Bott,1,3004,USV Ltd,,,
22,66682bdcd2a08931144c1cff,ARISTOZYME CAP,Drug,Capsules,Nos,Strip,15,3004,Aristo,,,
23,66682bdcd2a08931144c1cff,A TO Z GOLD NS,Drug,Tablet,Nos,Strip,15,3004,Alkem Laboratories,,,
24,66682bdcd2a08931144c1cff,AUTRIN,Drug,Capsules,Nos,Strip,30,3004,Pfizer,,,
25,66682bdcd2a08931144c1cff,AIR WAY NO-1,General Items,Consumables,Nos,Nos,1,3003,Romson,,,
26,66682bdcd2a08931144c1cff,AIR WAY NO-2,General Items,Consumables,Nos,Nos,1,3003,Romson,,,
27,66682bdcd2a08931144c1cff,AIR WAY NO.3,General Items,Consumables,Nos,Nos,1,3003,Romson,,,
28,66682bdcd2a08931144c1cff,AIR WAY NO.4,General Items,Consumables,Nos,Nos,1,3003,Romson,,,
29,66682bdcd2a08931144c1cff,A.V BLOOD TUBING (Browndove),General Items,Consumables,Nos,Nos,1,9018,Browndove,,,
30,66682bdcd2a08931144c1cff,AEROCORT INH,Drug,Inhaler,Nos,Nos,1,3004,Cipla Pharma,,,
31,66682bdcd2a08931144c1cff,ASTHALIN INH,Drug,Inhaler,Nos,Nos,1,3004,Cipla Pharma,,,
32,66682bdcd2a08931144c1cff,CHEST DRAIN TUBE 28,General Items,Consumables,Nos,Nos,1,3004,Romson,,,
33,66682bdcd2a08931144c1cff,ABDOMINAL BELT NO.30,General Items,Consumables,Nos,Nos,1,3004,Dyna,,,
34,66682bdcd2a08931144c1cff,ABDOMINAL BELT NO.32,General Items,Consumables,Nos,Nos,1,3004,Dyna,,,
35,66682bdcd2a08931144c1cff,ABDOMINAL BELT NO.34,General Items,Consumables,Nos,Nos,1,3004,Dyna,,,
36,66682bdcd2a08931144c1cff,ABDOMINAL BELT NO.36,General Items,Consumables,Nos,Nos,1,3004,Dyna,,,
37,66682bdcd2a08931144c1cff,ABDOMINAL BELT NO.38,General Items,Consumables,Nos,Nos,1,3004,Dyna,,,
38,66682bdcd2a08931144c1cff,ABDOMINAL BELT NO.40,General Items,Consumables,Nos,Nos,1,3004,Dyna,,,
39,66682bdcd2a08931144c1cff,ABGEL (Sterispon),General Items,Consumables,Nos,Box,2,3004,Sutures India,,,
40,66682bdcd2a08931144c1cff,ARM SLING,General Items,Consumables,Nos,Nos,1,3004,Dyna,,,
41,66682bdcd2a08931144c1cff,ASTHALIN RESPULES,Drug,Respules,Nos,Box,40,3004,Cipla Pharma,,,
42,66682bdcd2a08931144c1cff,AEROCORT FORTE R/C,Drug,Rotacap,Nos,Nos,1,3004,Cipla Pharma,,,
43,66682bdcd2a08931144c1cff,AEROCORT R/C,Drug,Rotacap,Nos,Nos,1,3004,Cipla Pharma,,,
44,66682bdcd2a08931144c1cff,ASTHALIN R/C,Drug,Rotacap,Nos,Nos,1,3004,Cipla Pharma,,,
45,66682bdcd2a08931144c1cff,ARG 9,Drug,Sachet,Nos,Box,10,3004,Nouveau Medicament,,,
46,66682bdcd2a08931144c1cff,ARGITAS SACHET,Drug,Sachet,Nos,Box,10,3004,Intas,,,
