id,storeId,code,medicineName,genericName,medicineType,hsncode,company,,mrpPrice,saleprice,gst,availabilityQty,batchNumber,expiryDate,potency
1,66682bdcd2a08931144c1cff,3-A-009/,Abott ID Now Test Packl Cartridge,,MEDICAL EQUIPMENT,,,,,,,,,,
2,66682bdcd2a08931144c1cff,3-B-002/90219090,BMW PTCA WIRE,,DISPOSABLE,,,,,,,,,,
3,66682bdcd2a08931144c1cff,3-C-002/,Cardiology Procedure,,DISPOSABLE,,,,,,,,,,
4,66682bdcd2a08931144c1cff,3-E-001/,Endurity core PM,,DISPOSABLE,,,,,,,,,,
5,66682bdcd2a08931144c1cff,3-E-002/,External Pacemaker,,DISPOSABLE,,,,,,,,,,
6,66682bdcd2a08931144c1cff,3-E-004/90215000,Endurity MRI PM 2172,,DISPOSABLE,,,,,,,,,,
7,66682bdcd2a08931144c1cff,3-I-003/,Isoflex,,DISPOSABLE,,,,,,,,,,
8,66682bdcd2a08931144c1cff,3-M-011/,MICROWIN HEXAWIN-450 mlL,,MEDICAL CONSUMABLE,,,,,,,,,,
9,66682bdcd2a08931144c1cff,3-N-004/914006,NC TRAVELER,,DISPOSABLE,914006,,,,,,,,,
10,66682bdcd2a08931144c1cff,3-P-002/,Peel,,DISPOSABLE,,,,,,,,,,
11,66682bdcd2a08931144c1cff,3-T-007/90183920,TRAVELER 1.5X0.6,,DISPOSABLE,90183920,,,,,,,,,
12,66682bdcd2a08931144c1cff,3-X-002/,Xience Prime 2.5X15Abbott,,DISPOSABLE,,,,,,,,,,
13,66682bdcd2a08931144c1cff,3-X-003/,Xience Prime 2.75X23 Abbott,,DISPOSABLE,,,,,,,,,,
14,66682bdcd2a08931144c1cff,3-X-004/,Xience Prime 3.0X23 Abbott,,DISPOSABLE,,,,,,,,,,
15,66682bdcd2a08931144c1cff,3-X-005/,Xience Prime 3.0X28 Abbott,,DISPOSABLE,,,,,,,,,,
16,66682bdcd2a08931144c1cff,3-X-006/,Xience Prime 3.0X33Abbott,,DISPOSABLE,,,,,,,,,,
17,66682bdcd2a08931144c1cff,3-X-007/90219090,Xience Prime 2.75X12 Abbott,,DISPOSABLE,,,,,,,,,,
18,66682bdcd2a08931144c1cff,3-X-008/90219090,Xiences Xpedition3.0X28 Abbott,,DISPOSABLE,,,,,,,,,,
19,66682bdcd2a08931144c1cff,3-X-009/90219090,Xience Prime 2.75X15 Abbott,,DISPOSABLE,,,,,,,,,,
20,66682bdcd2a08931144c1cff,3-X-010/90219090,Xience Prime 3.5X15 Abbott,,DISPOSABLE,,,,,,,,,,
21,66682bdcd2a08931144c1cff,3-X-012/90219090,Xience Prime 3.0X15 Abbott,,DISPOSABLE,,,,,,,,,,
22,66682bdcd2a08931144c1cff,3-X-013/90219090,Xience Prime 2.75X28 Abbott,,DISPOSABLE,,,,,,,,,,
23,66682bdcd2a08931144c1cff,3-X-014/90219090,Xience Prime 2.75X38 Abbott,,DISPOSABLE,,,,,,,,,,
24,66682bdcd2a08931144c1cff,3-X-015/,Xience Prime 2.75x18 Abbott,,DISPOSABLE,,,,,,,,,,
25,66682bdcd2a08931144c1cff,NMG-B-063/,BP Instrument,,MEDICAL EQUIPMENTS,,,,,,,,,,
26,66682bdcd2a08931144c1cff,NMG-D-008/,DISPOSALE GLOVES,,GENERAL ITEM,,,,,,,,,,
27,66682bdcd2a08931144c1cff,NMG-D-012/,DIESEL LTR,,MAINTENANCE,,,,,,,,,,
28,66682bdcd2a08931144c1cff,NMG-D-026/3004,Disposable Gloves,,GENERAL ITEM,3004,,,,,,,,,
29,66682bdcd2a08931144c1cff,NMG-D-027/3004,Disposable Mask,,GENERAL ITEM,3004,,,,,,,,,
30,66682bdcd2a08931144c1cff,NMG-I-025/,Infrared Thermometer,,GENERAL ITEM,,,,,,,,,,
31,66682bdcd2a08931144c1cff,NMG-P-082/,PPE KIT,,Consumable,,,,,,,,,,
32,66682bdcd2a08931144c1cff,NMG-T-044/,TREADMILL MOTORRIZED TM-20,,ASSET ITEM,,,,,,,,,,
33,66682bdcd2a08931144c1cff,PHAR-1-001/,1-0 CROMIC PLAIN (W 2004),,SUTURE,,,,,,,,,,
34,66682bdcd2a08931144c1cff,PHAR-1-002/,1-0NDL RB NW4225,,SUTURE,,,,,,,,,,
35,66682bdcd2a08931144c1cff,PHAR-1-003/,1-0RB NDL 4242,,SUTURE,,,,,,,,,,
36,66682bdcd2a08931144c1cff,PHAR-1-004/,1 NO.RB NDL 4259,,SUTURE,,,,,,,,,,
37,66682bdcd2a08931144c1cff,PHAR-1-005/,1 NO.RB NDL NW4226,,SUTURE,,,,,,,,,,
38,66682bdcd2a08931144c1cff,PHAR-1-006/,1/6 MORAL LACTED,,I.V.FLUID,,,,,,,,,,
39,66682bdcd2a08931144c1cff,PHAR-2-001/,2-0 RB NDL 4241,,SUTURE,,,,,,,,,,
40,66682bdcd2a08931144c1cff,PHAR-2-002/,2 NO.RB NDL 4228,,SUTURE,,,,,,,,,,
41,66682bdcd2a08931144c1cff,PHAR-2-003/,2 Port Manifort,,DISPOSABLE,,,,,,,,,,
42,66682bdcd2a08931144c1cff,PHAR-3-001/,3-0 CUTTING NDL 4201,,SUTURE,,,,,,,,,,
43,66682bdcd2a08931144c1cff,PHAR-3-002/,3-0 RB NDL 4237,,SUTURE,,,,,,,,,,
44,66682bdcd2a08931144c1cff,PHAR-3-003/,3CEF 1.5GM,,INJECTION,,,,,,,,,,
45,66682bdcd2a08931144c1cff,PHAR-4-001/,4-0 CHROMIC CUT NDL NW 4287,,SUTURE,,,,,,,,,,
46,66682bdcd2a08931144c1cff,PHAR-4-002/,4-0 CHROMIC R/B 5048,,SUTURE,,,,,,,,,,
47,66682bdcd2a08931144c1cff,PHAR-4-003/,4-0 CUTING NDL 4280,,SUTURE,,,,,,,,,,
48,66682bdcd2a08931144c1cff,PHAR-4-004/,4D TAB,,TABLET,,,,,,,,,,
49,66682bdcd2a08931144c1cff,PHAR-4-005/,4 QUIN EYE OINT.,,EXT.PREPRATION,,,,,,,,,,
50,66682bdcd2a08931144c1cff,PHAR-4-006/,4 QUIN EYE DROP,MOXIFLOXACIN HYDROCHLORIDE,DROPS,,,,,,,,,,
51,66682bdcd2a08931144c1cff,PHAR-5-001/,5-0 CUTING NDL,,SUTURE,,,,,,,,,,
52,66682bdcd2a08931144c1cff,PHAR-9-001/3004,99F-650MG TABLET,PARACETAMOL,TABLET,,FDC LIMITED,,,,,,,,
53,66682bdcd2a08931144c1cff,PHAR-A-001/,AB-FLO CAP,,CAPSULE,,,,,,,,,,
54,66682bdcd2a08931144c1cff,PHAR-A-002/,ABDOMINAL BELT - L,,DISPOSABLE,,DYNA,,,,,,,,
55,66682bdcd2a08931144c1cff,PHAR-A-003/,ABPHYLLIN,ACCEBROPHYLIN,CAPSULE,3004,SUN PHARMA,,,,,,,,
56,66682bdcd2a08931144c1cff,PHAR-A-004/,ABSOLUT CAP.,,CAPSULE,30049099,PHARMED,,,,,,,,
57,66682bdcd2a08931144c1cff,PHAR-A-005/,ADLIV FORTE,,CAPSULE,30039090,ALBERT DAVID,,,,,,,,
58,66682bdcd2a08931144c1cff,PHAR-A-006/,ASEPTO -PUMP,,DISPOSABLE,,ROM SONS,,,,,,,,
59,66682bdcd2a08931144c1cff,PHAR-A-007/,ALAMIN M FORTE,NUTRITIONAL SUPPLIMENT,CAPSULE,3003,ALBERT DAVID,,,,,,,,
60,66682bdcd2a08931144c1cff,PHAR-A-008/,ANGISPAN-TR TABLET,NITROGLYCERIN,CAPSULE,,U.S.B LTD,,,,,,,,
61,66682bdcd2a08931144c1cff,PHAR-A-009/,ALFATAM 0.4MG,,CAPSULE,,,,,,,,,,
62,66682bdcd2a08931144c1cff,PHAR-A-010/,AFS-3 KIT,,TABLET,,SALUD PHARMA,,,,,,,,
63,66682bdcd2a08931144c1cff,PHAR-A-011/,ALTRAFLAM-SR,,CAPSULE,,,,,,,,,,
64,66682bdcd2a08931144c1cff,PHAR-A-012/,ALVITA CAP.,,CAPSULE,,,,,,,,,,
65,66682bdcd2a08931144c1cff,PHAR-A-013/,AMPOXIN 500 MG CAP,AMPICILIN&CLOXACILIN,CAPSULE,30041060,UNICHEM,,,,,,,,
66,66682bdcd2a08931144c1cff,PHAR-A-014/,AMPOXIN-KID,AMPICILIN&CLOXACILIN,CAPSULE,30041060, ,,,,,,,,
67,66682bdcd2a08931144c1cff,PHAR-A-015/,ANDRIOL TESTOCAPS,,CAPSULE,,,,,,,,,,
68,66682bdcd2a08931144c1cff,PHAR-A-016/,AMOCLAVE 1200MG - VAIL,AMOXICILLIN &CLAVULANATE POTASSIUM,INJECTION,,,,,,,,,,
69,66682bdcd2a08931144c1cff,PHAR-A-017/,APFER CAP,,CAPSULE,,,,,,,,,,
70,66682bdcd2a08931144c1cff,PHAR-A-018/,APPCAL CAP,,CAPSULE,,,,,,,,,,
71,66682bdcd2a08931144c1cff,PHAR-A-019/,AQUASOL A,,CAPSULE,,,,,,,,,,
72,66682bdcd2a08931144c1cff,PHAR-A-020/,ARISTOZYME CAP,ENZIZYME,CAPSULE,30041090,  ,,,,,,,,
73,66682bdcd2a08931144c1cff,PHAR-A-021/,ASTYMIN-M FORTE,,CAPSULE,,,,,,,,,,
74,66682bdcd2a08931144c1cff,PHAR-A-022/,A TO Z GOLD NS,,CAPSULE,,,,,,,,,,
75,66682bdcd2a08931144c1cff,PHAR-A-023/,AUTRIN,,CAPSULE,,,,,,,,,,
76,66682bdcd2a08931144c1cff,PHAR-A-024/,AIR WAY NO-1,,DISPOSABLE,,,,,,,,,,
77,66682bdcd2a08931144c1cff,PHAR-A-025/,AIR WAY NO-2,,DISPOSABLE,,,,,,,,,,
78,66682bdcd2a08931144c1cff,PHAR-A-026/,AIR WAY NO.3,,DISPOSABLE,,,,,,,,,,
79,66682bdcd2a08931144c1cff,PHAR-A-027/,AIR WAY NO.4,,DISPOSABLE,,,,,,,,,,
80,66682bdcd2a08931144c1cff,PHAR-A-028/,A.V.LINE,,DISPOSABLE,,,,,,,,,,
81,66682bdcd2a08931144c1cff,PHAR-A-029/,AEROCORT INH,,INHALER,,,,,,,,,,
82,66682bdcd2a08931144c1cff,PHAR-A-030/,ASTHALIN INH,,INHALER,,,,,,,,,,
83,66682bdcd2a08931144c1cff,PHAR-A-031/,CHEST DRAIN TUBE 28,,MISCELLANEOUS,,,,,,,,,,
84,66682bdcd2a08931144c1cff,PHAR-A-032/,ABDOMINAL BELT NO.30,,MISCELLANEOUS,,,,,,,,,,
85,66682bdcd2a08931144c1cff,PHAR-A-033/,ABDOMINAL BELT NO.32,,MISCELLANEOUS,,,,,,,,,,
86,66682bdcd2a08931144c1cff,PHAR-A-034/,ABDOMINAL BELT NO.34,,MISCELLANEOUS,,,,,,,,,,
87,66682bdcd2a08931144c1cff,PHAR-A-035/,ABDOMINAL BELT NO.36,,MISCELLANEOUS,,,,,,,,,,
88,66682bdcd2a08931144c1cff,PHAR-A-036/,ABDOMINAL BELT NO.38,,MISCELLANEOUS,,,,,,,,,,
89,66682bdcd2a08931144c1cff,PHAR-A-037/,ABDOMINAL BELT NO.40,,MISCELLANEOUS,,,,,,,,,,
90,66682bdcd2a08931144c1cff,PHAR-A-038/,ABGEL 1PIC,,MISCELLANEOUS,,,,,,,,,,
91,66682bdcd2a08931144c1cff,PHAR-A-039/,AERO MASK (NEB.SET),,MISCELLANEOUS,,,,,,,,,,
92,66682bdcd2a08931144c1cff,PHAR-A-040/,ARM SLING,,MISCELLANEOUS,,,,,,,,,,
93,66682bdcd2a08931144c1cff,PHAR-A-041/,ALPROVIT CF 200GM,,NUTRITIONAL SUPP,,,,,,,,,,
94,66682bdcd2a08931144c1cff,PHAR-A-042/,ASTHALIN RES.,,RESPULES,,,,,,,,,,
95,66682bdcd2a08931144c1cff,PHAR-A-043/,AEROCORT FORTE R/C,,ROTOCAP,,CIPLA PHARMA,,,,,,,,
96,66682bdcd2a08931144c1cff,PHAR-A-044/,AEROCORT R/C,,ROTOCAP,,,,,,,,,,
97,66682bdcd2a08931144c1cff,PHAR-A-045/,ASTHALIN R/C,,ROTOCAP,,,,,,,,,,
98,66682bdcd2a08931144c1cff,PHAR-A-046/,ARG 9,,SACHET,,,,,,,,,,
99,66682bdcd2a08931144c1cff,PHAR-A-047/,ARGITAS SACHET,,SACHET,,,,,,,,,,
100,66682bdcd2a08931144c1cff,PHAR-A-048/,ACIFIX SYP,,SYRUP,,,,,,,,,,
101,66682bdcd2a08931144c1cff,PHAR-A-049/,AMLOKIND - H TABLET,AMLODIPINE,TABLET,,MANKIIND,,,,,,,,
102,66682bdcd2a08931144c1cff,PHAR-A-050/,ACILOC S SYP,,SYRUP,,,,,,,,,,
103,66682bdcd2a08931144c1cff,PHAR-A-051/,ABPHYLLINE-SR200MG TAB,ACEBROPHYLLINE,TABLET,,SUN PHARMA,,,,,,,,
104,66682bdcd2a08931144c1cff,PHAR-A-052/,ACIXX 170ML(SAUNF),,SYRUP,,,,,,,,,,
105,66682bdcd2a08931144c1cff,PHAR-A-053/,ACTIFED DM SYP,,SYRUP,,,,,,,,,,
106,66682bdcd2a08931144c1cff,PHAR-A-054/,ADLIV SYP,,SYRUP,,,,,,,,,,
107,66682bdcd2a08931144c1cff,PHAR-A-055/,ADVENT SYRUP,,SYRUP,,,,,,,,,,
108,66682bdcd2a08931144c1cff,PHAR-A-056/,AGLOZYME 200ML,,SYRUP,,,,,,,,,,
109,66682bdcd2a08931144c1cff,PHAR-A-057/,ALEX 50ML,,SYRUP,,,,,,,,,,
110,66682bdcd2a08931144c1cff,PHAR-A-058/,ALEX +SF100ML,,SYRUP,,,,,,,,,,
111,66682bdcd2a08931144c1cff,PHAR-A-059/,ALEX + SYP,,SYRUP,,,,,,,,,,
112,66682bdcd2a08931144c1cff,PHAR-A-060/,ALKACITRON SYP,,SYRUP,,,,,,,,,,
113,66682bdcd2a08931144c1cff,PHAR-A-061/,ALKARATE - 100ML SYRUP,,SYRUP,,MACLEODS,,,,,,,,
114,66682bdcd2a08931144c1cff,PHAR-A-062/,ALKAMAX 200ML,,SYRUP,,,,,,,,,,
115,66682bdcd2a08931144c1cff,PHAR-A-063/,ALKAMAX MB6 SYP,,SYRUP,,,,,,,,,,
116,66682bdcd2a08931144c1cff,PHAR-A-064/,ALKASOL 100ML,,SYRUP,,,,,,,,,,
117,66682bdcd2a08931144c1cff,PHAR-A-065/,ACUPENEM 1GM VAIL,MEROPENEM,INJECTION,,MACLEODS,,,,,,,,
118,66682bdcd2a08931144c1cff,PHAR-A-066/,ALLEGRA 60ML,,SYRUP,,,,,,,,,,
119,66682bdcd2a08931144c1cff,PHAR-A-067/,ALPROVIT PLUS SYP,,SYRUP,,,,,,,,,,
120,66682bdcd2a08931144c1cff,PHAR-A-068/,AMBRODIL 100 ML,,SYRUP,,,,,,,,,,
121,66682bdcd2a08931144c1cff,PHAR-A-069/,AMBRODIL PLUS SYP,,SYRUP,,,,,,,,,,
122,66682bdcd2a08931144c1cff,PHAR-A-070/,AMBRODIL-S 100ML,,SYRUP,,,,,,,,,,
123,66682bdcd2a08931144c1cff,PHAR-A-071/,ANAFORTAN 30ML,,SYRUP,,,,,,,,,,
124,66682bdcd2a08931144c1cff,PHAR-A-072/,ANTEPAR SYP,,SYRUP,,,,,,,,,,
125,66682bdcd2a08931144c1cff,PHAR-A-073/,APTIMUST 200ML,,SYRUP,,,,,,,,,,
126,66682bdcd2a08931144c1cff,PHAR-A-074/,APTIVATE 175ML,,SYRUP,,,,,,,,,,
127,66682bdcd2a08931144c1cff,PHAR-A-075/,ARISTOGYL 400MG TABLET,METRONIDAZOLE,TABLET,,ARISTO,,,,,,,,
128,66682bdcd2a08931144c1cff,PHAR-A-076/,ARISTOZYME 200ML,,SYRUP,,,,,,,,,,
129,66682bdcd2a08931144c1cff,PHAR-A-077/,ASCORIL-D SYP,,SYRUP,,,,,,,,,,
130,66682bdcd2a08931144c1cff,PHAR-A-078/,ASCORIL + EXP SYP,,SYRUP,,,,,,,,,,
131,66682bdcd2a08931144c1cff,PHAR-A-079/,ASTHAKIND SYP,,SYRUP,,,,,,,,,,
132,66682bdcd2a08931144c1cff,PHAR-A-080/,ATAREX SYP,,SYRUP,,,,,,,,,,
133,66682bdcd2a08931144c1cff,PHAR-A-081/,A TO Z NS SYP,,SYRUP,,,,,,,,,,
134,66682bdcd2a08931144c1cff,PHAR-A-082/,A TO Z SYRUP 200ML,MULTIVITAMIN & MULTIMINERAL,SYRUP,,ALKEM LABORATORIES,,,,,,,,
135,66682bdcd2a08931144c1cff,PHAR-A-083/,AUGMENTIN DDS SYP,,SYRUP,,,,,,,,,,
136,66682bdcd2a08931144c1cff,PHAR-A-084/,AUGMENTIN SYP DUO,,SYRUP,,,,,,,,,,
137,66682bdcd2a08931144c1cff,PHAR-A-085/,AXBEX NS 200ML,,SYRUP,,,,,,,,,,
138,66682bdcd2a08931144c1cff,PHAR-A-086/,AXBEX SYP NS,,SYRUP,,,,,,,,,,
139,66682bdcd2a08931144c1cff,PHAR-A-087/,AZICID SYP 200ML,,SYRUP,,,,,,,,,,
140,66682bdcd2a08931144c1cff,PHAR-A-088/,AZILIDE 100MG SYP.,,SYRUP,,,,,,,,,,
141,66682bdcd2a08931144c1cff,PHAR-A-089/,AZILIDE-200,,SYRUP,,,,,,,,,,
142,66682bdcd2a08931144c1cff,PHAR-A-090/,AZITHRAL 100MG,,SYRUP,,,,,,,,,,
143,66682bdcd2a08931144c1cff,PHAR-A-091/,AZITHRAL 200MG,,SYRUP,,,,,,,,,,
144,66682bdcd2a08931144c1cff,PHAR-A-092/,ABDOMINAL BELT - M,,DISPOSABLE,,DYNA,,,,,,,,
145,66682bdcd2a08931144c1cff,PHAR-A-093/,ACEMOVE-MR TAB,,TABLET,,,,,,,,,,
146,66682bdcd2a08931144c1cff,PHAR-A-094/,ACEMOVE PLUS,,TABLET,,,,,,,,,,
147,66682bdcd2a08931144c1cff,PHAR-A-095/,AMLOSAFE-TM 40 TAB,AMLODIPINE&TELMISARTAN,TABLET,,OTSIRA,,,,,,,,
148,66682bdcd2a08931144c1cff,PHAR-A-096/,ADALCEF 500MG TABLET,CEFUROXIME AXETIL,TABLET,,,,,,,,,,
149,66682bdcd2a08931144c1cff,PHAR-A-097/,ACENAC P,,TABLET,,,,,,,,,,
150,66682bdcd2a08931144c1cff,PHAR-A-098/,ACE PROXYVON TAB,,TABLET,,,,,,,,,,
151,66682bdcd2a08931144c1cff,PHAR-A-099/,ABSOLUT WOMEN-CAPSULE,,CAPSULE,,,,,,,,,,
152,66682bdcd2a08931144c1cff,PHAR-A-100/,ACILOC-150MG,,TABLET,,,,,,,,,,
153,66682bdcd2a08931144c1cff,PHAR-A-101/,ACILOC-300MG,,TABLET,,,,,,,,,,
154,66682bdcd2a08931144c1cff,PHAR-A-102/,ACILOC RD,,TABLET,,,,,,,,,,
